popularity_rank,domain,Populated,Number_of_accessibility_errors_detected,WCAG_2_A/AA_failure_detected,Number_of_page_elements,Error_density_Percentage,Top_error_types_detected
916,deepseek.com,Yes,36,2,65,55.38,aria-hidden-focus; color-contrast; page-has-heading-one
917,state.gov,Yes,4,1,15,26.67,image-alt; landmark-one-main; page-has-heading-one; region
918,jimdo.com,Yes,0,0,40,0.0,
919,mailchi.mp,Yes,0,0,49,0.0,
920,linode.com,Yes,9,0,49,18.37,landmark-unique; heading-order; landmark-banner-is-top-level; landmark-complementary-is-top-level; landmark-contentinfo-is-top-level
921,poki.com,Yes,190,1,225,84.44,image-redundant-alt; region; landmark-one-main; nested-interactive
922,cloudsink.net,No,,,,,
923,xerox.com,Yes,10,2,54,18.52,region; color-contrast; aria-prohibited-attr
924,agora.io,Yes,77,4,115,66.96,region; color-contrast; nested-interactive; landmark-one-main; link-name
925,epa.gov,Yes,0,0,45,0.0,
926,nintendo.net,No,,,,,
927,pccc.com,Yes,47,3,82,57.32,region; listitem; color-contrast; aria-required-children; heading-order
928,perplexity.ai,Yes,1,1,28,3.57,meta-refresh
929,ddns.net,No,,,,,
930,presage.io,No,,,,,
931,ubnt.com,Yes,32,4,72,44.44,color-contrast; nested-interactive; aria-hidden-focus; landmark-unique; link-name
932,nationalgeographic.com,Yes,201,7,244,82.38,empty-heading; link-name; aria-required-parent; nested-interactive; landmark-complementary-is-top-level
933,character.ai,Yes,5,2,33,15.15,landmark-main-is-top-level; landmark-no-duplicate-main; landmark-unique; link-name; meta-viewport
934,split.io,Yes,25,2,62,40.32,link-name; region; color-contrast; landmark-one-main
935,ryanair.com,Yes,6,0,31,19.35,region; landmark-one-main; page-has-heading-one
937,docker.io,Yes,19,3,63,30.16,link-name; list; color-contrast; heading-order
938,coupang.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
939,smilewanted.com,Yes,157,8,198,79.29,image-alt; region; color-contrast; aria-required-parent; button-name
940,typeform.com,Yes,3,1,47,6.38,color-contrast; region
941,youku.com,Yes,121,4,141,85.82,image-alt; region; link-name; html-has-lang; label
942,airbnb.com,Yes,3,1,39,7.69,aria-command-name; region
943,repubblica.it,Yes,235,4,272,86.4,color-contrast; image-alt; link-name; button-name; region
944,rackspace.com,Yes,1,0,44,2.27,region
945,pendo.io,Yes,166,4,207,80.19,region; color-contrast; link-name; nested-interactive; aria-hidden-focus
946,amazon.com.au,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
947,mercadolibre.com.ar,Yes,5,3,25,20.0,document-title; html-has-lang; label; page-has-heading-one; tabindex
948,lowes.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
949,kleinanzeigen.de,Yes,0,0,47,0.0,
950,kickstarter.com,Yes,1,1,28,3.57,meta-refresh
951,cdnhwc2.com,No,,,,,
952,corriere.it,Yes,79,4,121,65.29,link-name; empty-heading; button-name; landmark-complementary-is-top-level; aria-prohibited-attr
953,opera-api.com,No,,,,,
954,wyzecam.com,No,,,,,
955,rambler.ru,Yes,135,6,173,78.03,region; color-contrast; aria-required-parent; button-name; link-in-text-block
956,weforum.org,Yes,54,2,93,58.06,region; landmark-unique; link-name; button-name; landmark-one-main
957,btloader.com,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
958,segment.io,Yes,1,0,43,2.33,heading-order
959,theatlantic.com,Yes,1,0,44,2.27,page-has-heading-one
960,4dex.io,No,,,,,
962,tiktokrow-cdn.com,No,,,,,
963,readthedocs.io,Yes,21,1,52,40.38,color-contrast; region
964,umich.edu,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
965,pbs.org,Yes,1,0,43,2.33,landmark-unique
966,nextlgsdp.com,No,,,,,
967,omnitagjs.com,No,,,,,
968,kwai.com,Yes,19,4,41,46.34,region; link-name; color-contrast; image-alt; label
969,yandex.com.tr,Yes,17,3,60,28.33,color-contrast; aria-required-attr; list; page-has-heading-one
970,vercel.app,Yes,25,6,70,35.71,color-contrast; link-name; aria-hidden-focus; aria-prohibited-attr; heading-order
971,leiniao.com,No,,,,,
972,px-cloud.net,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
973,kslawin.com,No,,,,,
974,whitehouse.gov,Yes,3,0,46,6.52,empty-heading; label-title-only; landmark-unique
975,note.com,Yes,6,2,21,28.57,region; frame-title; html-has-lang; landmark-one-main
976,jd.com,Yes,42,4,75,56.0,color-contrast; region; link-name; html-has-lang; image-alt
977,caixa.gov.br,No,,,,,
978,elmundo.es,No,,,,,
979,immedia-semi.com,No,,,,,
980,tsyndicate.com,No,,,,,
981,singular.net,Yes,19,3,59,32.2,link-name; image-alt; color-contrast; region
982,theconversation.com,Yes,0,0,44,0.0,
983,digitaloceanspaces.com,Yes,52,0,86,60.47,region; empty-heading; landmark-one-main
984,giex.ru,No,,,,,
985,netgear.com,Yes,54,4,94,57.45,region; svg-img-alt; heading-order; aria-allowed-role; aria-prohibited-attr
986,onet.pl,Yes,33,4,71,46.48,link-name; empty-heading; region; color-contrast; frame-title
987,nexusmods.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
988,hotstar.com,No,,,,,
989,afafb.com,No,,,,,
990,kueezrtb.com,Yes,27,2,57,47.37,region; color-contrast; link-name; landmark-one-main
991,sofascore.com,No,,,,,
992,costco.com,No,,,,,
993,onesignal.com,Yes,91,3,133,68.42,link-name; aria-prohibited-attr; color-contrast; heading-order; landmark-unique
994,fbpigeon.com,No,,,,,
995,vercel-dns-016.com,No,,,,,
997,us.com,Yes,5,3,42,11.9,image-alt; label; landmark-unique; link-name; page-has-heading-one
998,utorrent.com,Yes,30,4,65,46.15,listitem; color-contrast; link-name; image-alt; heading-order
999,nypost.com,Yes,30,3,78,38.46,link-name; image-redundant-alt; region; frame-title; heading-order
1000,binance.com,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
1001,pvp.net,No,,,,,
1002,snapkit.com,Yes,22,2,51,43.14,region; color-contrast; image-alt; landmark-one-main; page-has-heading-one
1003,ipify.org,Yes,235,4,259,90.73,color-contrast; region; link-in-text-block; scrollable-region-focusable; image-alt
1004,columbia.edu,Yes,1,1,28,3.57,meta-refresh
1005,samsungcloudsolution.net,No,,,,,
1007,quizlet.com,Yes,4,1,26,15.38,region; empty-heading; meta-refresh
1008,bol.com,No,,,,,
1009,orderbox-dns.com,No,,,,,
1010,tagesschau.de,Yes,13,3,55,23.64,color-contrast; region; definition-list; heading-order; svg-img-alt
